Date,Opponent,Venue,Result,"Result (Win, Draw, Lost)",Result (Win versus Points Lost),Points,Goals,Goals Against,Shots,Shots on Target,Shots on Target %,Goals Per Shot,Goals Per Shot on Target,Average Shot Distance,Free Kick Goals,Penalty Kick Goals,Penalty Kick Attempt,Expected Goals,Non-penalty Expected Goals,Non-penalty Expected Goals Per Shot,Goals Minus Expected Goals,Non Penalty Goals Minus Expected Non-penalty Goals,Shots on Target Against,Saves By Goalkeeper,Save Percentage By Goalkeeper,Clean Sheets,Post-shot Expected Goals,Post-shot Expected Goals Minus Goals,Passes Completed (Longer than 40 yards) By Goalkeeper,Passes Attempted (Longer than 40 yards) By Goalkeeper,Passes Completed Percentage (Longer than 40 yards) By Goalkeeper,Passes Attempted By Goalkeeper,Average Passes Length By Goalkeeper,Goals Kicks Attempted By Goalkeeper,Goals Kicks Attempted (Longer than 40 yards) ,Average Goal Kicks Length By Goalkeeper,Crosses Faced By Goalkeeper,Crosses Stopped By Goalkeeper,Crosses Stopped Percentage By Goalkeeper,Defensive Action Outside Penalty Area By Goalkeeper,Average Distance of Defensive Action By Goalkeeper,Passes Completed,Passes Attemped,Passes Completion Percentage,Total Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attemped,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attemped,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attemped,Long Passes Completion Percentage,Assist,Expected Assisted Goals,Expected Assist,Key passes,Passes Into Final Third,Passes Into Penalty Area,Crosses Into Penalty Area,Progressive Passes,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Challenged Tribble Attempted,Challenged Tribble Successful Percentage,Blocks,Shots Blocked,Shot Against,Shots Block Percentage(%),Passes Blocked,Interception,Clearance,Errors,Possession (%),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-on (Dribble) Attempted,Take-on (Dribble) Success Percentage,Carries,Total Carries Distance,Progressive Carries Distance,Progressive Carries,Carries into Final Third,Carries Into Penalty Area,Miscontrols,Dispossesed,Yellow Card,Red Cards,Fouls Commited,Fouls Drawn,Offsides,Crosses,Interception,Tackles Won,Ball Recovery,Aerial Duel Won,Aerial Duel Lost,Arieal Duel Won Percentage
7/8/2022,Brighton,Home,L,0,0,0,1,2,17,5,29.4,0,0,15.5,0,0,0,1.4,1.4,0.08,-1.4,-1.4,4,2,50,0,1.5,-0.5,0,5,0,25,21.9,3,33.3,29.3,10,0,0,2,18.7,480,599,80.1,7826,2650,242,277,87.4,184,215,85.6,37,70,52.9,0,0.8,0.9,13,44,14,3,54,12,8,10,1,1,12,50,14,4,15,0.266666667,10,15,11,1,62,708,57,239,267,205,32,13,38.5,375,2192,1288,25,13,6,15,7,4,0,7,12,3,24,15,8,59,11,9,55
13/8/2022,Brentford,Away,L,0,0,0,0,4,15,4,26.7,0,0,19.6,0,0,0,0.9,0.9,0.06,-0.9,-0.9,7,3,42.9,0,2.3,-1.7,2,7,28.6,15,30.2,3,100,62.7,14,0,0,0,3,471,575,81.9,6988,2094,274,301,91,148,172,86,30,60,50,0,0.7,1,13,41,10,1,39,12,7,10,1,1,11,27.3,11,3,13,0.230769231,8,12,23,2,66,673,51,165,281,231,24,14,71.4,364,2053,967,17,28,6,13,5,4,0,15,6,2,21,12,7,43,14,10,58.3
22/8/2022,Liverpool,Home,W,2,1,3,2,1,13,5,38.5,0.15,0.4,19.5,2,0,0,1.8,1.8,0.14,0.2,0.2,5,4,80,0,1.8,0.8,6,29,20.7,18,47.9,16,100,66.3,21,0,0,1,17,193,300,64.3,3209,1596,109,131,83.2,54,75,72,22,68,32.4,2,1.7,1.2,9,16,6,0,23,24,17,11,9,4,13,23.1,19,5,17,0.294117647,14,12,34,0,30,443,83,176,179,92,21,21,52.4,179,1033,404,12,6,6,17,6,3,0,11,7,2,7,12,17,54,14,20,41.2
27/8/2022,Southampton,Away,W,2,1,3,1,0,11,4,36.4,0.09,0.25,15.5,1,0,0,1.1,1.1,0.15,-0.1,-0.1,4,4,100,1,0.8,0.8,4,14,28.6,20,35,13,38.5,34.5,22,2,9.1,0,7.3,326,444,73.4,5554,2119,161,189,85.2,132,159,83,24,66,36.4,1,0.9,1.4,7,19,7,2,33,14,8,12,1,1,12,50,6,3,17,0.176470588,3,10,39,0,51,568,74,224,224,125,24,14,50,295,1785,878,15,9,5,15,10,3,0,14,3,1,12,10,8,57,26,19,57.8
1/9/2022,Leicester City,Away,W,2,1,3,1,0,9,2,22.2,0.11,0.5,16.8,0,0,0,1.5,1.5,0.17,-0.5,-0.5,2,2,100,1,0.6,0.6,8,23,34.8,25,40.9,8,87.5,58.4,11,2,18.2,0,8,422,553,76.3,7353,2728,201,233,86.3,170,201,84.6,44,91,48.4,1,1.5,0.7,8,32,8,0,42,15,8,8,7,0,11,54.5,15,3,10,0.3,12,8,10,0,47,648,59,229,273,148,24,17,47.1,315,1405,775,15,10,5,12,15,3,0,15,7,2,12,8,8,72,16,18,47.1
4/9/2022,Arsenal,Home,W,2,1,3,3,1,10,6,60,0.3,0.5,15.5,0,0,0,1.5,1.5,0.16,1.5,1.5,3,2,66.7,0,0.8,-0.2,6,16,37.5,16,47.1,11,63.6,47.1,12,0,0,0,9,261,340,76.8,4568,1885,121,141,85.8,101,114,88.6,27,60,45,3,1.6,1,10,15,4,1,15,17,8,12,4,1,17,52.9,14,5,16,0.3125,9,7,25,0,40,452,74,183,181,89,15,12,25,257,1280,665,13,7,4,13,6,3,0,13,8,4,6,7,8,44,10,3,76.9
8/9/2022,Real Sociedad,Home,L,0,0,0,0,1,15,3,20,0,0,19.5,1,0,0,0.8,0.8,0.06,-0.8,-0.8,3,2,100,0,1.2,0.2,0,5,0,23,28.8,4,25,31,7,0,0,0,14,449,547,82.1,7615,2499,223,251,88.8,168,194,86.6,48,77,62.3,0,0.8,1.2,13,32,9,4,42,18,10,9,8,1,15,40,12,2,6,0.333333333,10,8,8,1,55,651,57,224,277,157,22,24,54.2,429,1988,932,12,12,5,20,6,3,0,8,16,4,15,8,10,53,12,15,44.4
15/9/2022,Sheriff Tiraspol,Away,W,2,1,3,2,0,7,2,28.6,0.14,0.5,16.4,0,1,1,1.6,0.8,0.11,0.4,0.2,2,2,100,1,0.1,0.1,2,3,66.7,36,21.9,9,11.1,23.3,9,0,0,1,25,577,669,86.2,9600,3056,278,307,90.6,239,265,90.2,49,72,68.1,1,0.7,1.2,6,40,10,1,46,22,9,8,11,3,18,61.1,8,2,11,0.181818182,6,6,13,1,68,749,52,209,361,185,21,15,53.3,510,2472,1496,24,15,4,11,6,0,0,12,12,1,13,6,9,44,9,7,56.3
2/10/2022,Manchester City,Away,L,0,0,0,3,6,11,7,63.6,0.18,0.29,22.2,0,1,1,1.7,0.9,0.08,1.3,1.1,9,3,33.3,0,3.1,-2.9,0,9,0,29,30.7,3,100,72,9,0,0,0,,428,501,85.4,6847,1945,207,223,92.8,176,191,92.1,28,59,47.5,1,0.4,0.3,9,23,4,0,22,14,5,5,9,0,12,8.3,14,7,22,0.318181818,7,7,10,0,47,587,84,229,246,116,12,12,33.3,329,1771,808,18,11,4,7,7,3,0,9,3,0,4,7,5,42,6,10,37.5
6/10/2022,AC Omonia,Away,W,2,1,3,3,2,28,8,28.6,0.11,0.38,18.8,2,0,0,3.1,3.1,0.11,-0.1,-0.1,4,2,50,0,2.1,0.1,1,2,50,16,25.6,5,0,24,5,0,0,3,28.7,657,759,86.6,10921,3595,337,361,93.4,255,286,89.2,60,88,68.2,2,2.9,2.6,23,69,22,1,71,16,9,7,7,2,17,58.8,9,1,8,0.125,8,4,11,0,73,867,42,120,440,314,42,18,33.3,556,2502,1440,25,23,7,15,4,2,0,8,8,2,15,4,9,51,17,5,77.3
