Team,Season_End_Year,Points,Rank
Arsenal,1993,56,10.0
Arsenal,1994,71,4.0
Arsenal,1995,51,12.0
Arsenal,1996,63,4.0
Arsenal,1997,68,2.0
Arsenal,1998,78,1.0
Arsenal,1999,78,2.0
Arsenal,2000,73,2.0
Arsenal,2001,70,2.0
Arsenal,2002,87,1.0
Arsenal,2003,78,2.0
Arsenal,2004,90,1.0
Arsenal,2005,83,2.0
Arsenal,2006,67,4.0
Arsenal,2007,68,3.0
Arsenal,2008,83,3.0
Arsenal,2009,72,4.0
Arsenal,2010,75,3.0
Arsenal,2011,68,4.0
Arsenal,2012,70,3.0
Arsenal,2013,73,4.0
Arsenal,2014,79,4.0
Arsenal,2015,75,3.0
Arsenal,2016,71,2.0
Arsenal,2017,75,5.0
Arsenal,2018,63,6.0
Arsenal,2019,70,5.0
Arsenal,2020,56,8.0
Arsenal,2021,61,8.0
Arsenal,2022,69,5.0
Arsenal,2023,84,2.0
Aston Villa,1993,74,2.0
Aston Villa,1994,57,10.0
Aston Villa,1995,48,18.0
Aston Villa,1996,63,4.0
Aston Villa,1997,61,5.0
Aston Villa,1998,57,7.0
Aston Villa,1999,55,6.0
Aston Villa,2000,58,6.0
Aston Villa,2001,54,8.0
Aston Villa,2002,50,8.0
Aston Villa,2003,45,16.0
Aston Villa,2004,56,5.0
Aston Villa,2005,47,10.0
Aston Villa,2006,42,16.0
Aston Villa,2007,50,11.0
Aston Villa,2008,60,6.0
Aston Villa,2009,62,6.0
Aston Villa,2010,64,6.0
Aston Villa,2011,48,9.0
Aston Villa,2012,38,16.0
Aston Villa,2013,41,14.0
Aston Villa,2014,38,14.0
Aston Villa,2015,38,16.0
Aston Villa,2016,17,20.0
Aston Villa,2020,35,17.0
Aston Villa,2021,55,11.0
Aston Villa,2022,45,14.0
Aston Villa,2023,61,7.0
Barnsley,1998,35,19.0
Birmingham City,2003,48,13.0
Birmingham City,2004,50,10.0
Birmingham City,2005,45,12.0
Birmingham City,2006,34,18.0
Birmingham City,2008,35,19.0
Birmingham City,2010,50,9.0
Birmingham City,2011,39,18.0
Blackburn,1993,71,4.0
Blackburn,1994,84,2.0
Blackburn,1995,89,1.0
Blackburn,1996,61,6.0
Blackburn,1997,42,13.0
Blackburn,1998,58,6.0
Blackburn,1999,35,19.0
Blackburn,2002,46,10.0
Blackburn,2003,60,6.0
Blackburn,2004,44,15.0
Blackburn,2005,42,15.0
Blackburn,2006,63,6.0
Blackburn,2007,52,10.0
Blackburn,2008,58,7.0
Blackburn,2009,41,13.0
Blackburn,2010,50,9.0
Blackburn,2011,43,15.0
Blackburn,2012,31,19.0
Blackpool,2011,39,18.0
Bolton,1996,29,20.0
Bolton,1998,40,17.0
Bolton,2002,40,16.0
Bolton,2003,44,17.0
Bolton,2004,53,7.0
Bolton,2005,58,5.0
Bolton,2006,56,8.0
Bolton,2007,56,7.0
Bolton,2008,37,16.0
Bolton,2009,41,13.0
Bolton,2010,39,14.0
Bolton,2011,46,12.0
Bolton,2012,36,18.0
Bournemouth,2016,42,15.0
Bournemouth,2017,46,8.0
Bournemouth,2018,44,10.0
Bournemouth,2019,45,13.0
Bournemouth,2020,34,18.0
Bournemouth,2023,39,15.0
Bradford City,2000,36,17.0
Bradford City,2001,26,20.0
Brentford,2022,46,13.0
Brentford,2023,59,9.0
Brighton,2018,40,15.0
Brighton,2019,36,17.0
Brighton,2020,41,15.0
Brighton,2021,41,16.0
Brighton,2022,51,9.0
Brighton,2023,62,6.0
Burnley,2010,30,18.0
Burnley,2015,33,19.0
Burnley,2017,40,16.0
Burnley,2018,54,7.0
Burnley,2019,40,15.0
Burnley,2020,54,9.0
Burnley,2021,39,17.0
Burnley,2022,35,18.0
Cardiff City,2014,30,20.0
Cardiff City,2019,34,18.0
